object_id,shape,x_m,y_m,radius_m,width_m,depth_m,height_m,x_min_m,x_max_m,y_min_m,y_max_m
D1,circle,206,350,14,,,14,192,220,336,364
D2,circle,238,350,12,,,12,226,250,338,362
D3,circle,330,294,30,,,26,300,360,264,324
D4,circle,270,206,30,,,26,240,300,176,236
D5,circle,370,238,14,,,14,356,384,224,252
D6,circle,402,238,14,,,14,388,416,224,252
HUB,rectangle,194,198,,32,22,12,178,210,187,209
WORKSHOP,rectangle,162,182,,20,30,10,152,172,167,197
STORE,rectangle,194,166,,24,16,7,182,206,158,174
T1,circle,218,180,5,,,10,213,223,175,185
T2,circle,218,194,5,,,10,213,223,189,199
E1,rectangle,372,278,,20,12,6,362,382,272,284
E2,rectangle,400,278,,20,12,6,390,410,272,284
E3,rectangle,428,278,,20,12,6,418,438,272,284
