sensor_id,name,x_m,y_m,radius_m,bearing_deg,model_role,use_for_prediction
R1-N,1 km N,250,1250,1000,0,regional_observation,false
R1-NE,1 km NE,957.106781187,957.106781187,1000,45,regional_observation,false
R1-E,1 km E,1250,250,1000,90,regional_observation,false
R1-SE,1 km SE,957.106781187,-457.106781187,1000,135,regional_observation,false
R1-S,1 km S,250,-750,1000,180,regional_observation,false
R1-SW,1 km SW,-457.106781187,-457.106781187,1000,225,regional_observation,false
R1-W,1 km W,-750,250,1000,270,regional_observation,false
R1-NW,1 km NW,-457.106781187,957.106781187,1000,315,regional_observation,false
R5-N,5 km N,250,5250,5000,0,regional_observation,false
R5-NE,5 km NE,3785.533905933,3785.533905933,5000,45,regional_observation,false
R5-E,5 km E,5250,250,5000,90,regional_observation,false
R5-SE,5 km SE,3785.533905933,-3285.533905933,5000,135,regional_observation,false
R5-S,5 km S,250,-4750,5000,180,regional_observation,false
R5-SW,5 km SW,-3285.533905933,-3285.533905933,5000,225,regional_observation,false
R5-W,5 km W,-4750,250,5000,270,regional_observation,false
R5-NW,5 km NW,-3285.533905933,3785.533905933,5000,315,regional_observation,false
R10-N,10 km N,250,10250,10000,0,regional_observation,false
R10-NE,10 km NE,7321.067811865,7321.067811865,10000,45,regional_observation,false
R10-E,10 km E,10250,250,10000,90,regional_observation,false
R10-SE,10 km SE,7321.067811865,-6821.067811865,10000,135,regional_observation,false
R10-S,10 km S,250,-9750,10000,180,regional_observation,false
R10-SW,10 km SW,-6821.067811865,-6821.067811865,10000,225,regional_observation,false
R10-W,10 km W,-9750,250,10000,270,regional_observation,false
R10-NW,10 km NW,-6821.067811865,7321.067811865,10000,315,regional_observation,false
